op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped,caveat
0,model,embed_tokens,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False,
1,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True,
2,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True,
3,model,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True,
4,model,,elementwise_add,[[T]],,,[[T]],[3],,other,,1,model,aten.add.Tensor,[],prefill,False,
5,model,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True,
6,model,,elementwise_add,[[T]],,,[[T]],[5],,other,,1,model,aten.add.Tensor,[],prefill,False,
7,model,,unsqueeze,[[B]],,,"[[B, 1]]",[1],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
8,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[7],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
9,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[8],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
10,model,,unsqueeze,[[B]],,,"[[B, 1]]",[2],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
11,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[10],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
12,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[11],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
13,model,,unsqueeze,[[T]],,,"[[B, T]]",[4],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
14,model,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[13],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
15,model,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, T, 1]]",[14],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
16,model,,unsqueeze,[[T]],,,"[[B, T]]",[6],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
17,model,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[16],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
18,model,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, 1, T]]",[17],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
19,model,,le,"[[B, 1, 1, T], [B, 1, T, 1]]",,,"[[B, 1, T, T]]","[15, 18]",,other,,1,model,aten.le.Tensor,[],prefill,True,
20,model,,expand,"[[B, 1, T, T]]",,,"[[B, 1, T, T]]",[19],,other,,1,model,aten.expand.default,[],prefill,True,
21,model,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],prefill,True,
22,model,,where,"[[B, 1, T, T], [], []]",,,"[[B, 1, T, T]]","[20, 21]",,other,,1,model,aten.where.self,[],prefill,True,
23,model,rotary_emb,unsqueeze,[[d_head/2]],,,"[[B, d_head/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.inv_freq],prefill,True,
24,model,rotary_emb,unsqueeze,"[[B, d_head/2]]",,,"[[B, d_head/2, 1]]",[23],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True,
25,model,rotary_emb,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[24],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True,
26,model,rotary_emb,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True,
