op_id,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped,caveat
0,model,embed_tokens,,,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False,
1,model,,,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True,
2,model,,,,,arange,[],,,[[1]],[],,other,,1,model,aten.arange.default,[],decode,True,
3,model,,,,,arange,[],,,[[1]],[],,other,,1,model,aten.arange.default,[],decode,True,
4,model,,,,,elementwise_add,[[1]],,,[[1]],[3],,other,,1,model,aten.add.Tensor,[],decode,False,
5,model,,,,,arange,[],,,[[w_local]],[],,other,,1,model,aten.arange.default,[],decode,True,
6,model,,,,,elementwise_add,[[w_local]],,,[[w_local]],[5],,other,,1,model,aten.add.Tensor,[],decode,False,
7,model,,,,,unsqueeze,[[B]],,,"[[B, 1]]",[1],,other,,1,model,aten.unsqueeze.default,[],decode,True,
8,model,,,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[7],,other,,1,model,aten.unsqueeze.default,[],decode,True,
9,model,,,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[8],,other,,1,model,aten.unsqueeze.default,[],decode,True,
10,model,,,,,unsqueeze,[[1]],,,"[[1, 1]]",[2],,other,,1,model,aten.unsqueeze.default,[],decode,True,
11,model,,,,,unsqueeze,"[[1, 1]]",,,"[[1, 1, 1]]",[10],,other,,1,model,aten.unsqueeze.default,[],decode,True,
12,model,,,,,unsqueeze,"[[1, 1, 1]]",,,"[[1, 1, 1, 1]]",[11],,other,,1,model,aten.unsqueeze.default,[],decode,True,
13,model,,,,,unsqueeze,[[1]],,,"[[1, 1]]",[4],,other,,1,model,aten.unsqueeze.default,[],decode,True,
14,model,,,,,unsqueeze,"[[1, 1]]",,,"[[1, 1, 1]]",[13],,other,,1,model,aten.unsqueeze.default,[],decode,True,
15,model,,,,,unsqueeze,"[[1, 1, 1]]",,,"[[1, 1, 1, 1]]",[14],,other,,1,model,aten.unsqueeze.default,[],decode,True,
16,model,,,,,unsqueeze,[[w_local]],,,"[[1, w_local]]",[6],,other,,1,model,aten.unsqueeze.default,[],decode,True,
17,model,,,,,unsqueeze,"[[1, w_local]]",,,"[[1, 1, w_local]]",[16],,other,,1,model,aten.unsqueeze.default,[],decode,True,
18,model,,,,,unsqueeze,"[[1, 1, w_local]]",,,"[[1, 1, 1, w_local]]",[17],,other,,1,model,aten.unsqueeze.default,[],decode,True,
