op_id,h1,h2,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,embedding,"[[V, d_model], [B, T]]","[V, d_model]","[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,model,embed_tokens,elementwise_mul,"[[B, T, d_model], []]",,"[[B, T, d_model]]",[0],,other,,2,model.embed_tokens,aten.mul.Tensor,[model.embed_tokens.embed_scale],prefill,False
2,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
3,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
4,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
5,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
6,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
7,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
8,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
9,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
10,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
11,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
12,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
13,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
14,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
15,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
16,model,,lift_fresh,[[]],,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
17,model,,arange,[],,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
18,model,,arange,[],,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
19,model,,arange,[],,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
20,model,,elementwise_add,[[T]],,[[T]],[19],,other,,1,model,aten.add.Tensor,[],prefill,False
21,model,,arange,[],,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
22,model,,elementwise_add,[[T]],,[[T]],[21],,other,,1,model,aten.add.Tensor,[],prefill,False
23,model,,unsqueeze,[[B]],,"[[B, B]]",[17],,other,,1,model,aten.unsqueeze.default,[],prefill,True
24,model,,unsqueeze,"[[B, B]]",,"[[B, B, B]]",[23],,other,,1,model,aten.unsqueeze.default,[],prefill,True
25,model,,unsqueeze,"[[B, B, B]]",,"[[B, B, B, B]]",[24],,other,,1,model,aten.unsqueeze.default,[],prefill,True
26,model,,unsqueeze,[[B]],,"[[B, B]]",[18],,other,,1,model,aten.unsqueeze.default,[],prefill,True
27,model,,unsqueeze,"[[B, B]]",,"[[B, B, B]]",[26],,other,,1,model,aten.unsqueeze.default,[],prefill,True
28,model,,unsqueeze,"[[B, B, B]]",,"[[B, B, B, B]]",[27],,other,,1,model,aten.unsqueeze.default,[],prefill,True
29,model,,unsqueeze,[[T]],,"[[B, T]]",[20],,other,,1,model,aten.unsqueeze.default,[],prefill,True
30,model,,unsqueeze,"[[B, T]]",,"[[B, B, T]]",[29],,other,,1,model,aten.unsqueeze.default,[],prefill,True
31,model,,unsqueeze,"[[B, B, T]]",,"[[B, B, T, B]]",[30],,other,,1,model,aten.unsqueeze.default,[],prefill,True
32,model,,unsqueeze,[[T]],,"[[B, T]]",[22],,other,,1,model,aten.unsqueeze.default,[],prefill,True
33,model,,unsqueeze,"[[B, T]]",,"[[B, B, T]]",[32],,other,,1,model,aten.unsqueeze.default,[],prefill,True
34,model,,unsqueeze,"[[B, B, T]]",,"[[B, B, B, T]]",[33],,other,,1,model,aten.unsqueeze.default,[],prefill,True
35,model,,new_ones,"[[B, B, T, B]]",,[[]],[31],,other,,1,model,aten.new_ones.default,[],prefill,True
36,model,,sub,"[[B, B, T, B]]",,"[[B, B, T, B]]",[31],,other,,1,model,aten.sub.Tensor,[],prefill,True
37,model,,gt,"[[B, B, B, T], [B, B, T, B]]",,"[[B, B, T, T]]","[34, 36]",,other,,1,model,aten.gt.Tensor,[],prefill,True
